Ticker,Price,High12m,Low12m,MA20,MA50,RSI,Position12m,DistanceHigh12m,Return5d,Return20d,Volatility20d,AvgDollarVolume30d,DividendPerShare12m,Yield12m,DividendPayments12m,DividendMonths12m,DividendFrequency,IncomeAnnualPer100,IncomeMonthlyEquivalentPer100,ScoreSwing,ScoreDividendos,ScoreHibrido,UpdatedAt
LQDW,23.44,25.4,23.24,23.38,23.61,50.14,9.1,-7.73,0.59,-0.52,4.88,3150251.0,2.778,11.85,12,11,Mensal,11.85,0.99,71.8,100.0,83.1,2026-08-25 17:08 UTC
DSU,9.39,10.65,9.35,9.45,9.56,37.78,2.7,-11.88,-0.37,-0.27,5.42,3024840.0,1.188,12.66,12,12,Mensal,12.66,1.05,82.0,100.0,89.2,2026-08-25 17:08 UTC
AWF,10.15,11.41,9.88,10.14,10.16,50.54,17.6,-11.04,0.0,0.5,5.82,3020568.0,0.792,7.8,13,12,Mensal,7.8,0.65,68.4,100.0,81.0,2026-08-25 17:08 UTC
BHK,9.03,10.11,8.72,9.04,9.03,50.25,22.4,-10.67,0.46,0.91,12.7,2867638.0,0.9,9.97,12,12,Mensal,9.97,0.83,56.5,100.0,73.9,2026-08-25 17:08 UTC
WDI,12.82,15.25,12.75,13.07,13.33,31.14,2.8,-15.94,-2.44,-1.76,9.69,2762420.0,1.788,13.95,12,11,Mensal,13.95,1.16,87.3,100.0,92.4,2026-08-25 17:08 UTC
ACP,5.05,5.94,5.0,5.09,5.16,42.68,4.8,-15.07,-2.98,0.3,13.8,2708298.0,0.936,18.55,12,12,Mensal,18.55,1.55,66.0,100.0,79.6,2026-08-25 17:08 UTC
SAR,18.49,25.55,17.45,19.11,19.97,38.13,12.8,-27.63,-1.07,-4.1,26.52,2697987.0,3.25,17.58,12,12,Mensal,17.58,1.46,73.6,100.0,84.2,2026-08-25 17:08 UTC
PAXS,14.07,16.52,13.81,14.19,14.29,43.54,9.6,-14.83,0.5,-0.14,10.85,2685003.0,1.788,12.71,12,12,Mensal,12.71,1.06,67.4,100.0,80.4,2026-08-25 17:08 UTC
DLY,13.83,15.65,13.51,14.05,14.0,35.44,15.0,-11.63,-2.12,-0.29,8.25,2655805.0,1.404,10.15,12,12,Mensal,10.15,0.85,84.3,100.0,90.6,2026-08-25 17:08 UTC
LONZ,49.32,51.1,48.94,49.17,49.2,62.39,17.4,-3.49,0.27,0.16,2.43,2623657.0,4.12,8.35,12,11,Mensal,8.35,0.7,49.3,100.0,69.6,2026-08-25 17:08 UTC
JQC,4.76,5.57,4.65,4.79,4.79,43.48,11.4,-14.63,-0.11,0.11,7.49,2612234.0,0.624,13.12,12,12,Mensal,13.12,1.09,70.6,100.0,82.4,2026-08-25 17:08 UTC
CDX,20.8,23.0,20.42,20.74,20.88,50.41,14.7,-9.57,0.0,1.36,5.83,2526492.0,1.72,8.27,12,12,Mensal,8.27,0.69,69.0,100.0,81.4,2026-08-25 17:08 UTC
KIO,11.03,12.75,10.66,11.06,11.16,46.07,17.9,-13.45,0.14,0.05,8.39,2271120.0,1.464,13.27,12,12,Mensal,13.27,1.11,62.0,100.0,77.2,2026-08-25 17:08 UTC
WIW,8.35,9.01,8.26,8.34,8.36,50.46,12.7,-7.27,0.06,0.78,4.67,2012004.0,0.756,9.05,12,12,Mensal,9.05,0.75,68.3,100.0,81.0,2026-08-25 17:08 UTC
KTF,8.8,9.34,8.65,8.9,9.05,32.37,21.0,-5.84,-1.62,-0.28,6.9,1999345.0,0.765,8.7,13,12,Mensal,8.7,0.72,71.9,100.0,83.1,2026-08-25 17:08 UTC
BLW,12.68,14.19,12.16,12.67,12.58,50.32,25.5,-10.66,-0.5,1.01,10.2,1990084.0,1.356,10.7,12,12,Mensal,10.7,0.89,67.7,100.0,80.6,2026-08-25 17:08 UTC
RA,12.6,13.59,12.53,12.73,12.78,39.74,7.1,-7.25,-0.2,-1.45,6.68,1963244.0,1.416,11.23,12,12,Mensal,11.23,0.94,72.6,100.0,83.6,2026-08-25 17:08 UTC
SCM,8.74,15.02,7.01,8.36,8.17,60.17,21.6,-41.81,1.86,20.05,36.12,1929940.0,1.426,16.32,12,12,Mensal,16.32,1.36,71.7,100.0,83.0,2026-08-25 17:08 UTC
FAX,14.56,16.8,14.16,14.54,14.53,49.98,15.3,-13.3,-0.58,1.01,10.46,1928546.0,1.98,13.59,12,12,Mensal,13.59,1.13,75.5,100.0,85.3,2026-08-25 17:08 UTC
PFFV,22.07,23.38,21.8,22.02,22.04,54.44,17.1,-5.6,0.32,0.23,3.35,1914306.0,1.788,8.1,12,11,Mensal,8.1,0.68,60.3,100.0,76.2,2026-08-25 17:08 UTC
VVR,2.94,3.65,2.93,2.96,2.97,43.74,1.4,-19.45,0.34,-0.34,9.73,1887379.0,0.42,14.29,12,12,Mensal,14.29,1.19,76.8,100.0,86.1,2026-08-25 17:08 UTC
BBN,15.81,17.35,15.52,15.84,15.91,47.46,15.9,-8.87,0.51,-0.06,7.22,1854348.0,1.188,7.51,12,12,Mensal,7.51,0.63,60.1,100.0,76.1,2026-08-25 17:08 UTC
ISD,12.35,14.77,12.23,12.45,12.65,40.45,4.5,-16.42,-0.44,-1.16,8.54,1809277.0,1.26,10.21,12,11,Mensal,10.21,0.85,77.7,100.0,86.6,2026-08-25 17:08 UTC
