Ticker,SecurityName,AssetType,IsETF,Price,High12m,Low12m,MA20,MA50,RSI,Position12m,DistanceHigh12m,Return5d,Return20d,Volatility20d,AvgDollarVolume30d,DividendPerShare12m,Yield12m,DividendPayments12m,DividendMonths12m,DividendFrequency,DividendGrowth6mPct,DividendCV,IncomeAnnualPer100,IncomeMonthlyEquivalentPer100,ScoreSwing,ScoreDividendos,ScoreHibrido,UpdatedAt
DKNG,DraftKings Inc. - Class A Common Stock,Acao,False,24.74,43.98,20.72,24.71,24.65,51.84,17.3,-43.75,2.27,-2.68,50.36,285875698.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,85.2,0.0,34.1,2026-09-14 10:56 UTC
KROS,"Keros Therapeutics, Inc. - common stock",Acao,False,11.08,21.84,9.91,11.03,10.83,51.56,9.8,-49.27,-0.27,3.94,48.91,2064267.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,84.9,0.0,34.0,2026-09-14 10:56 UTC
BL,"BlackLine, Inc. - Common Stock",Acao,False,28.35,58.83,25.23,31.36,30.5,38.59,9.3,-51.81,-14.69,-9.6,52.89,33626676.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,84.8,0.0,33.9,2026-09-14 10:56 UTC
IRTC,"iRhythm Holdings, Inc.  - Common Stock",Acao,False,111.43,189.25,101.79,121.02,119.74,38.03,11.0,-41.12,-9.72,-9.52,54.24,78363460.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,84.7,0.0,33.9,2026-09-14 10:56 UTC
YUMC,"Yum China Holdings, Inc. Common Stock",Acao,False,42.32,57.95,40.18,45.71,45.3,30.29,12.0,-26.97,-3.14,-10.41,26.22,70054157.0,0.87,2.06,3,3,Trimestral,100.0,0.0,2.06,0.17,84.7,48.9,63.2,2026-09-14 10:56 UTC
CWH,"Camping World Holdings, Inc. Class A Common Stock",Acao,False,6.04,17.51,5.63,6.47,6.38,41.08,3.5,-65.51,-10.12,-7.5,52.8,10682319.0,0.25,4.14,2,2,Semestral,-100.0,0.0,4.14,0.34,84.6,17.2,44.2,2026-09-14 10:56 UTC
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,Acao,False,109.3,189.34,94.81,117.6,117.28,36.6,15.3,-42.27,-2.24,-10.53,40.7,1413884169.0,1.05,0.96,1,1,Anual/Irregular,0.0,1.0,0.96,0.08,84.5,0.0,33.8,2026-09-14 10:56 UTC
SMCY,YieldMax SMCI Option Income Strategy ETF,ETF,True,5.43,17.67,4.07,5.35,4.95,54.74,10.0,-69.27,1.69,-2.69,49.8,6548041.0,7.341,135.19,49,13,Mensal,-46.01,1.049,135.19,11.27,84.5,14.5,42.5,2026-09-14 10:56 UTC
DOMO,"Domo, Inc. - Class B Common Stock",Acao,False,3.83,18.2,2.0,3.79,3.7,53.39,11.3,-78.96,1.06,-3.77,28.35,4093763.0,0.0,0.0,0,0,Nao paga,-100.0,2.0,0.0,0.0,84.3,0.0,33.7,2026-09-14 10:56 UTC
WINA,Winmark Corporation - Common Stock,Acao,False,308.47,517.89,308.47,332.92,353.57,29.78,0.0,-40.44,-2.81,-11.76,24.87,17156992.0,13.96,4.53,4,4,Trimestral,-82.89,1.236,4.53,0.38,84.2,15.9,43.2,2026-09-14 10:56 UTC
